event_id,user_id,event_type,event_ts,amount,country
e0,u664,view,2026-01-29 11:34:22,0.0,US
e1,u149,refund,2026-01-15 19:07:22,50.81,AU
e2,u440,click,2026-01-15 10:11:22,0.0,GB
e3,u857,click,2026-01-22 11:11:22,0.0,US
e4,u1129,signup,2026-01-14 04:52:22,0.0,AU
e5,u254,view,2026-02-09 05:07:22,0.0,AU
e6,u1941,click,2026-02-06 18:40:22,0.0,AU
e7,u813,click,2026-01-21 13:47:22,0.0,US
e8,u1141,view,2026-01-24 16:38:22,0.0,GB
e9,u296,refund,2026-01-16 20:58:22,70.33,AU
e10,u632,refund,2026-01-19 17:43:22,101.52,CA
e11,u763,click,2026-02-05 10:35:22,0.0,US
e12,u1156,click,2026-02-08 16:26:22,0.0,CA
e13,u1017,refund,2026-01-30 23:21:22,91.4,IN
e14,u954,refund,2026-02-01 03:18:22,40.5,CA
e15,u1432,view,2026-01-15 05:43:22,0.0,AU
e16,u615,refund,2026-02-03 01:06:22,83.1,IN
e17,u1494,signup,2026-01-24 14:49:22,0.0,AU
e18,u150,click,2026-02-03 19:29:22,0.0,GB
e19,u338,purchase,2026-01-18 10:19:22,98.24,US
e20,u1566,refund,2026-02-06 14:12:22,42.96,IN
e21,u697,purchase,2026-02-07 13:31:22,0,US
e22,u1721,click,2026-01-23 19:09:22,0.0,GB
e23,u1428,click,2026-01-14 06:35:22,0.0,IN
e24,u1326,refund,2026-01-31 19:04:22,61.49,IN
e25,u1468,signup,2026-01-27 07:20:22,0.0,US
e26,u1927,signup,2026-01-27 16:34:22,0.0,CA
e27,u1252,click,2026-02-02 23:33:22,0.0,US
e28,u447,purchase,2026-01-17 09:35:22,57.06,GB
e29,u166,view,2026-01-31 22:56:22,0.0,GB
e30,u1126,purchase,2026-01-17 17:52:22,19.82,GB
e31,u1770,refund,2026-01-24 04:25:22,28.25,GB
e32,u1962,view,2026-01-18 09:09:22,0.0,US
e33,u361,view,2026-01-22 01:40:22,0.0,CA
e34,u25,signup,2026-02-07 07:47:22,0.0,CA
e35,u539,purchase,2026-01-11 16:47:22,0,CA
e36,u859,refund,2026-01-28 07:38:22,32.98,CA
e37,u1415,refund,2026-02-08 14:53:22,37.7,US
e38,u936,refund,2026-01-29 08:53:22,27.89,GB
e39,u1300,signup,2026-01-14 08:18:22,0.0,CA
e40,u138,view,2026-01-31 13:35:22,0.0,CA
e41,u226,purchase,2026-02-07 20:28:22,83.93,US
e42,u210,click,2026-02-06 07:23:22,0.0,CA
e43,u1099,click,2026-01-28 01:28:22,0.0,AU
e44,u53,click,2026-01-20 23:27:22,0.0,AU
e45,u771,view,2026-02-09 09:15:22,0.0,IN
e46,u1957,purchase,2026-02-07 22:09:22,46.54,GB
e47,u955,signup,2026-02-02 12:47:22,0.0,IN
e48,u176,view,2026-01-16 03:55:22,0.0,IN
e49,u1517,purchase,2026-02-02 07:05:22,75.43,CA
e50,u1058,click,2026-01-20 20:27:22,0.0,AU
e51,u741,view,2026-02-05 05:36:22,0.0,US
e52,u1553,refund,2026-01-25 01:54:22,139.08,IN
e53,u1062,purchase,2026-01-19 02:46:22,49.25,IN
e54,u1581,view,2026-02-04 18:02:22,0.0,AU
e55,u1596,refund,2026-01-26 12:23:22,23.92,CA
e56,u1651,view,2026-01-29 17:58:22,0.0,CA
e57,u410,refund,2026-02-02 22:33:22,18.31,IN
e58,u1498,click,2026-01-12 18:49:22,0.0,IN
e59,u968,purchase,2026-01-20 07:49:22,24.61,GB
e60,u1656,purchase,2026-01-28 02:35:22,0,US
e61,u452,click,2026-01-21 20:05:22,0.0,GB
e62,u403,purchase,2026-01-20 19:32:22,0,AU
e63,u1722,click,2026-02-02 08:01:22,0.0,IN
e64,u1638,click,2026-01-16 23:17:22,0.0,GB
e65,u1603,view,2026-02-02 06:27:22,0.0,CA
e66,u889,purchase,2026-01-15 11:04:22,72.64,GB
e67,u949,signup,2026-01-15 09:04:22,0.0,CA
e68,u349,view,2026-01-12 18:24:22,0.0,CA
e69,u1210,signup,2026-02-10 08:41:22,0.0,CA
e70,u1253,refund,2026-02-02 02:26:22,39.56,AU
e71,u1123,view,2026-01-12 11:41:22,0.0,US
e72,u1638,click,2026-02-04 11:29:22,0.0,CA
e73,u889,view,2026-01-21 02:49:22,0.0,US
e74,u516,view,2026-01-24 20:18:22,0.0,AU
e75,u493,refund,2026-01-26 08:23:22,28.98,IN
e76,u1115,signup,2026-01-17 11:29:22,0.0,US
e77,u1864,purchase,2026-02-01 08:45:22,21.59,AU
e78,u862,refund,2026-01-17 11:08:22,0,AU
e79,u311,refund,2026-02-03 17:58:22,102.79,CA
e80,u1247,click,2026-01-18 07:56:22,0.0,CA
e81,u290,signup,2026-02-08 16:32:22,0.0,US
e82,u1140,click,2026-01-26 08:22:22,0.0,AU
e83,u1087,refund,2026-02-02 11:19:22,65.05,US
e84,u1809,refund,2026-01-14 02:22:22,60.3,US
e85,u1040,signup,2026-02-06 01:52:22,0.0,US
e86,u1557,click,2026-01-31 16:27:22,0.0,IN
e87,u1255,refund,2026-02-08 02:22:22,92.21,AU
e88,u409,purchase,2026-02-01 02:23:22,0,AU
e89,u1929,view,2026-02-04 07:48:22,0.0,IN
e90,u1890,refund,2026-01-20 17:35:22,56.28,GB
e91,u281,signup,2026-01-17 01:09:22,0.0,GB
e92,u906,purchase,2026-01-14 19:33:22,39.89,CA
